Full Name,Symbols
3i Grp.,III.L
3i Inf. Ord,3IN.L
4imprint Grp.,FOUR.L
888 Hldgs,888.L
A.b.food,ABF.L
Abdn.asian Sml,AAS.L
Abdn.asn Inc,AAIF.L
Abdn.new Thai,ANW.L
Abdn.nw.dwn,ABD.L
Aberfth.smll.co,ASL.L
Acencia,ACD.L
Admiral Grp,ADM.L
Aggreko,AGK.L
Alcentra Gbp,AEFS.L
Alliance Trust,ATST.L
Allianz Tech,ATT.L
Allied Mind,ALM.L
Anglo American,AAL.L
Anglo Pacific,APF.L
Anglo-eastern,AEP.L
Antofagasta,ANTO.L
Ao World,AO.L
Arrow Global,ARW.L
Artemis Alpha,ATS.L
Ashley,laura.L
Ashmore,ASHM.L
Ashtead Grp.,AHT.L
Assura,AGR.L
Astrazeneca,AZN.L
Aveva Grp,AVV.L
Aviva,AV.L
Avon Rbr.,AVON.L
Babcock Intl,BAB.L
Bae Sys.,BA.L
Baill.g.shin.,BGS.L
Baillie G.jap.,BGFD.L
Balfour B.,BBY.L
Bankers Inv.tst,BNKR.L
Barclays,BARC.L
Baring Emerging,BEE.L
Barr,A.g..L
Barratt Devel.,BDEV.L
Batm Advanced,BVC.L
Bba Aviation,BBA.L
Bbgi Sicav,BBGI.L
Beazley,BEZ.L
Bellway,BWY.L
Berkeley Gp.hld,BKG.L
Bgeo Grp,BGEO.L
Bh Global,BHGG.L
Bh Macro Gbp,BHMG.L
Bhp Billiton,BLT.L
Big Yellow Grp,BYG.L
Biotech Gwth,BIOG.L
Blackrock Brna,BRNA.L
Blackrock Com,BRCI.L
Blackrock Emg,BEEP.L
Blackrock Fr,BRFI.L
Blackrock Great,BRGE.L
Blackrock Lat A,BRLA.L
Blackrock Sml,BRSC.L
Blackrock Wld,BRWM.L
Bloomsbury Pub.,BMY.L
Bluefield Solar,BSIF.L
Bodycote,BOY.L
Booker,BOK.L
Bovis Homes,BVS.L
Bp,BP.L
Br.amer.tob.,BATS.L
Br.empire Trust,BTEM.L
Br.land,BLND.L
Br.throg.trust,THRG.L
Braemar Ship,BMS.L
Brewin Dolphin,BRW.L
Britvic,BVIC.L
Brown Grp.,BWNG.L
Brunner Inv.tst,BUT.L
Bt Group,BT.A.L
Btg,BTG.L
Bunzl,BNZL.L
Burberry Grp,BRBY.L
Cairn Energy,CNE.L
Caledonia Inv.,CLDN.L
Cambian Group,CMBN.L
Candover Inv.,CDI.L
Cap & Count,CAPC.L
Cap.®.,CAL.L
Capita Group,CPI.L
Capital Gearing,CGT.L
Carclo,CAR.L
Card Factory,CARD.L
Carillion,CLLN.L
Carnival,CCL.L
Carpetright,CPR.L
Centamin,CEY.L
Centaur,CAU.L
Centrica,CNA.L
Charles Taylor,CTR.L
Chemring Grp.,CHG.L
Chesnara,CSN.L
Cineworld,CINE.L
Circassia,CIR.L
City Lon Inv,CLIG.L
City Lon.,CTY.L
City Merch.high,CMHY.L
City Nat,CYN.L
Clarkson,CKN.L
Close Br.grp.,CBG.L
Cls Hdgs,CLI.L
Cobham,COB.L
Cocacola Hbc Ag,CCH.L
Communisis,CMS.L
Compass Group,CPG.L
Computacenter,CCC.L
Connect Grp,CNCT.L
Consort Med.,CSRT.L
Costain Grp.,COST.L
Countrywide,CWD.L
Cqs New C.h.y.f,NCYF.L
Cranswick,CWK.L
Crest Nicholson,CRST.L
Crh,CRH.L
Croda Intl.,CRDA.L
Custodian Reit,CREI.L
Cvc Credit Gbp,CCPG.L
Daejan Hldgs,DJAN.L
Dairy Crest,DCG.L
Dcc,DCC.L
De La Rue,DLAR.L
Debenhams,DEB.L
Dechra Pharm,DPH.L
Derwent London,DLN.L
Devro,DVO.L
Diageo,DGE.L
Dialight,DIA.L
Dignity,DTY.L
Diploma,DPLM.L
Direct Line,DLG.L
Diverse Inc,DIVI.L
Dixons Carpho,DC.L
Domino's Pizza,DOM.L
Drax,DRX.L
